"","Code","GLOSS_ID","Country","Location","Connection","DCP_ID","Last_observationLevel","Last_Observation_Time_in_GMT","Delay","TransmitInterval","View_","long","lat"
"1368","sole","","France","Solenzara ","ftp","","0.72","07:25","2h","5'","  [open]  ","9.3738","41.8358"
"1369","sole2","","France","Solenzara2 ","SZFR01","FR0710","0.72","07:18","2h","6'","  [open]  ","9.3738","41.8358"
"1370","solo","66","Solomon Islands","Honiara ","SZPS01","56670","0.84","07:26","2h","3'","  [open]  ","159.9555","-9.4289"
"1372","sosu","","Russia","Sosunovo ","web","","2.38","07:15","2h","10'","  [open]  ","138.33","46.53"
"1373","sove","","Russia","Sovetskaja Gavan' ","web","","1.61","07:14","2h","10'","  [open]  ","140.29","48.97"
"1375","spfl","","USA","St Petersburg FL ","SXXX03","3365D722","","","","6'","  [open]  ","-82.627","27.76"
"1376","spik","","Sweden","Spikarna ","web","","0.04","07:00","2h","1h","  [open]  ","17.531111","62.363333"
"1377","spjy","","Australia","Southport Jetty AU ","SZAU01","61240","0.97","07:26","2h","3'","  [open]  ","146.9748","-43.4333"
"1378","spmi","","France","Saint Pierre et Miquelon, Canada ","ftp","","1.03","07:24","2h","5'","  [open]  ","-56.168305","46.778833"
"1379","sprg","56","Australia","Spring Bay AU ","SZAU01","61170","1.26","07:26","2h","3'","  [open]  ","147.9327","-42.5459"
"1380","sptx","","USA","Sabine Pass TX ","SXXX03","33697646","","","","6'","  [open]  ","-93.87","29.73"
"1381","sscr","","UK","Second Severn Crossing ","web","","6.15","07:28","2h","0.1666'","  [open]  ","-2.70001","51.57012"
"1384","stan2","305","UK","Stanley ","SXXX32","18D8F39E","1.83","07:06","2h","6'","  [open]  ","-57.93","-51.75"
"1385","star","","Russia","Starodubskoe ","web","","0.76","07:14","2h","10'","  [open]  ","142.82","47.41"
"1386","stari","","Croatia","Stari Grad ","web","","-0.13","07:20","2h","10'","  [open]  ","16.576","43.181"
"1387","stav","","Norway","Stavanger ","web","","0.73","07:20","2h","10'","  [open]  ","5.730121","58.974339"
"1388","stcr","","USA","St Croix VI ","web","3365B2C4","0.25","07:21","2h","6'","  [open]  ","-64.69833","17.74666"
"1389","stcr2","","USA","St Croix VI ","SXXX03","3365B2C4","-3","07:14","2h","6'","  [open]  ","-64.69833","17.74666"
"1390","stdpr","","Puerto Rico","Salinas, Puerto Rico ","SXXX03","A4F0022E","-3.6","07:21","2h","6'","  [open]  ","-66.225967","17.949063"
"1391","sten","","Sweden","Stenungsund ","web","","0.03","07:00","2h","1h","  [open]  ","11.8325","58.093333"
"1393","sthl2","264","Saint-Helena","Saint Helena UK Ruperts Bay ","SXXX32","18BC4718","2.31","07:19","2h","15'","  [open]  ","-5.714394","-15.917918"
"1394","sthm","341","Sweden","Stockholm ","web","","0.12","07:00","2h","1h","  [open]  ","18.081944","59.324167"
"1395","stjo","223","Canada","St. Johns ","web","","0.84","07:24","2h","10'","  [open]  ","-52.72","47.57"
"1398","stlu","","Saint Lucia","Ganter's Bay ","SOLC10","6B00103C","","2024-09-02 22:56","10h","5'","  [open]  ","-60.997351","14.016428"
"1399","stlu2","","Saint Lucia","Dennery ","SOLC10","6B0036D0","4.57","2024-06-07 14:38","88d","5'","  [open]  ","-60.8865","13.9114"
"1400","stlu3","","Saint Lucia","Soufriere ","SOLC10","6B003802","4.58","00:26","9h","5'","  [open]  ","-61.0596","13.8535"
"1401","stlu4","","Saint Lucia","Vieux Fort ","SOLC10","6B004040","2.42","2024-09-02 20:31","13h","5'","  [open]  ","-60.9528","13.7209"
"1402","stma","","France","Saint-Malo ","ftp","","10.93","07:24","2h","5'","  [open]  ","-2.028","48.6416"
"1403","stma2","","France","Saint-Malo 2 ","SZFR01","FR410","11.03","07:20","2h","6'","  [open]  ","-2.028","48.6416"
"1404","stmr","","UK","St Marys ","ftp","","4.04","07:00","2h","15'","  [open]  ","-6.317222","49.917861"
"1405","stmt","","France","Saint Martin Island ","SXMF40","12A01F32","-999","00:51","8h","5'","  [open]  ","-63.085434","18.08333"
"1406","stor","238","UK","Stornoway ","ftp","","4.57","06:45","2h","15'","  [open]  ","-6.39","58.21"
"1409","stqy","","France","Saint-Quay-Portrieux ","ftp","","8.45","2024-08-29 13:54","5d","5'","  [open]  ","-2.822498","48.648195"
"1410","stqy2","","France","Saint-Quay-Portrieux 2 ","SZFR01","FR0506","8.44","2024-08-29 13:51","5d","6'","  [open]  ","-2.822498","48.648195"
"1411","stro","","Sweden","Stromoren ","web","","0.13","07:00","2h","1h","  [open]  ","22.238333","65.549722"
"1412","subi","","Philippines","Subic Bay ","SXXX33","3226F4BE","5.46","07:16","2h","15'","  [open]  ","120.2833","14.8167"
"1414","sura","","Indonesia","Surabaya ","SZID51","","1.59","07:15","2h","15'","  [open]  ","112.74058611","-7.19996944"
"1416","swpr","","UK","Swanage Pier ","web","","0.75","2023-11-16 08:20","292d","0.1666'","  [open]  ","-1.949177","50.609334"
"1417","syow","95","Antarctica","Syowa ","web","","14.23","05:55","3h","1h","  [open]  ","39.570278","-69.007778"
"1418","syro","","Greece","Syros ","ftp","","0.97","07:30","2h","3'","  [open]  ","24.9411","37.438"
"1419","TA18","","Italy","Taranto ","web","","-0.09","07:23","2h","5'","  [open]  ","17.223763888889","40.475602777778"
"1421","tala","","Perú","Talara ","SEPO40","35414358","1.78","07:25","2h","5'","  [open]  ","-81.27985","-4.5778"
"1422","talc","","Chile","Talcahuano CL ","SXCH40","ADC0C320","4.09","07:20","2h","5'","  [open]  ","-73.105992","-36.700933"
"1423","talc2","","Chile","Talcahuano CL ","web","","4.25","07:21","2h","5'","  [open]  ","-73.105992","-36.700933"
"1424","talt","","Chile","Taltal CL ","SXCH40","ADC02E00","5","07:23","2h","5'","  [open]  ","-70.48979433","-25.407269"
"1425","talt2","","Chile","Taltal CL ","web","","4.98","07:22","2h","5'","  [open]  ","-70.48979433","-25.4072698"
"1427","tang","","Sweden","Tangudden GBG Hamn ","web","","0.06","07:00","2h","1h","  [open]  ","11.872222","57.681944"
"1429","tanp","","Taiwan ","Anping ","web","","0.12","07:00","2h","1h","  [open]  ","120.1497","22.9883"
"1430","tara","113","Kiribati","Betio,Tarawa ","SZPA01","67590","1.84","07:26","2h","6'","  [open]  ","172.93","1.3625"
"1431","tara1","","Italy","Taranto ","SXXX33","182B9362","1.02","07:19","2h","6'","  [open]  ","17.2214","40.4759"
"1432","tare","","Solomon Islands","Tarekukure Wharf SB ","SZPS01","56363","0.84","07:26","2h","3'","  [open]  ","156.4086","-6.6928"
"1433","tari","","Spain","Tarifa ","ftp","","0.32","07:22","2h","4'","  [open]  ","-5.60351","36.00646"
"1434","tarr","","Spain","Tarragona ","ftp","","0.52","07:22","2h","4'","  [open]  ","1.21325","41.07897"
"1435","tasu","","Turkey","Tasucu ","web","","1.99","07:24","2h","2'","  [open]  ","33.836227416992","36.281463623047"
"1436","tauas","","Samoa","Tau ","SZXX01","300434066943600","1.7","07:20","2h","5'","  [open]  ","-169.510648","-14.239845"
"1437","taut","","New Zealand","Port of Tauranga ","SZNZ01","TAUT","5.75","07:22","2h","3'","  [open]  ","176.1811791","-37.6410885"
"1438","taza","","Spain","Puerto de Tazacorte (La Palma) ","bgan","TAZA","2.24","2023-11-25 22:55","282d","1'","  [open]  ","-17.943853","28.640915"
"1439","tboz","","Taiwan ","Bozihlia ","web","","0.17","07:00","2h","1h","  [open]  ","120.1375","23.6186"
"1440","tbvi2","","British Virgin Islands","Cane Garden, Tortola ","SOVI10","B110070A","0","07:23","2h","5'","  [open]  ","-64.660508","18.429694"
"1441","tbwc","","Australia","Twofold Bay AU ","SZAU01","60531","1.3","07:26","2h","3'","  [open]  ","149.9266","-37.1003"
"1443","tche","","Taiwan ","Chenggong ","web","","0.05","07:00","2h","1h","  [open]  ","121.3799","23.0972"
"1444","tcim","","Taiwan ","Cimei ","web","","0.36","07:00","2h","1h","  [open]  ","119.42","23.19"
"1445","tcsb","","Turks & Caicos Islands","Sapodilla Bay, Providenciales ","SOTI10","C7900094","0.36","07:24","2h","5'","  [open]  ","-72.284877","21.741204"
"1446","tdan","","Taiwan ","Danhai ","web","","-0.42","07:00","2h","1h","  [open]  ","121.4075","25.1839"
"1447","tdas","","Taiwan ","Danshuei ","web","","-999","07:00","2h","1h","  [open]  ","121.4248","25.1757"
"1448","tdaw","","Taiwan ","Dawn ","web","","0.12","07:00","2h","1h","  [open]  ","120.8972","22.3375"
"1450","tdog","","Taiwan ","Dongshih ","web","","0.09","07:00","2h","1h","  [open]  ","120.1394","23.45"
"1451","tdoj","","Taiwan ","Dongjidao ","web","","-0.08","07:00","2h","1h","  [open]  ","119.6678","23.2546"
"1452","tdon","","Taiwan ","Donggang ","web","","0.2","07:00","2h","1h","  [open]  ","120.4383","22.4651"
"1453","tdos","","Taiwan ","Dongshadao(Pratas) ","web","","-0.35","07:00","2h","1h","  [open]  ","116.69","20.7"
"1455","telc","","Mexico","Telchac ","ftp","","1.92","2024-09-02 15:42","17h","6'","  [open]  ","-89.308333","21.34"
"1458","tene","","Spain","Tenerife2 ","ftp","","0.83","07:22","2h","4'","  [open]  ","-16.24111","28.47722"
"1459","ters","","Netherlands","Terschelling Noordzee ","web","","1.11","07:00","2h","10'","  [open]  ","5.33280433521","53.4278341365"
"1460","TEUL","","Italy","Teulada ","web","","0.15","07:28","2h","0.25'","  [open]  ","8.719502","38.927562"
"1461","tfan","","Taiwan ","Fangliao ","web","","0.26","07:00","2h","1h","  [open]  ","120.5931","22.3636"
"1462","tfbc","156","Canada","Tofino BC ","SXAK50","15C3A33C","-999","07:28","2h","5'","  [open]  ","-125.91","49.15"
"1463","tfug","","Taiwan ","Fugang ","web","","-0.14","07:00","2h","1h","  [open]  ","121.1931","22.7908"
"1464","tful","","Taiwan ","Fulong ","web","","-0.13","07:00","2h","1h","  [open]  ","121.9503","25.0217"
"1465","thep","","Taiwan ","Heping Port ","web","","-999","07:00","2h","1h","  [open]  ","121.7561","24.3031"
"1467","thev","308","Australia","Thevenard AU ","SZAU01","62000","0.79","07:26","2h","3'","  [open]  ","133.6413","-32.1489"
"1468","thio","","France","Thio ","SZNC44","065231E0","1.5","07:23","2h","6'","  [open]  ","166.241528","-21.613805"
"1469","Thio2","","France","Thio 2 ","ftp","","1.04","2024-08-27 06:59","7d","5'","  [open]  ","166.241528","-21.613805"
"1470","thou","","Taiwan ","Houbihu ","web","","0.08","07:00","2h","1h","  [open]  ","120.7453","21.9458"
"1471","thsi","","Taiwan ","Hsinchu ","web","","-0.41","07:00","2h","1h","  [open]  ","120.9206","24.8486"
"1472","thua","","Taiwan ","Hualien ","web","","-0.53","07:00","2h","1h","  [open]  ","121.6236","23.9806"
"1473","thul","343","Greenland","Thule - Pituffik ","ftp","","-0.1","07:25","2h","1'","  [open]  ","-68.8626","76.5434"
"1474","tjhu","","Taiwan ","Jhuwei ","web","","-0.52","07:00","2h","1h","  [open]  ","121.2433","25.1181"
"1475","tjia","","Taiwan ","Jiangjun ","web","","0.05","07:00","2h","1h","  [open]  ","120.083","23.2116"
"1476","tjib","","Taiwan ","Jibei ","web","","-0.28","07:00","2h","1h","  [open]  ","119.6132","23.7386"
"1478","tkao","","Taiwan ","Kaohsiung ","web","","0.37","07:00","2h","1h","  [open]  ","120.2883","22.6144"
"1479","tkdi","335","Ghana","Takoradi ","ftp","180022AA","1.17","07:03","2h","20'","  [open]  ","-1.744972","4.882123"
"1480","tkee","","Taiwan ","Keelung ","web","","-0.09","07:00","2h","1h","  [open]  ","121.7522","25.155"
"1481","tlan","","Taiwan ","Lanyu ","web","","-0.14","07:00","2h","1h","  [open]  ","121.5079","22.0577"
"1482","tlia","","Taiwan ","Liaoluowan ","web","","-0.15","07:00","2h","1h","  [open]  ","118.4267","24.4075"
"1483","tlin","","Taiwan ","Linshanbi ","web","","-0.48","07:00","2h","1h","  [open]  ","121.5103","25.2839"
"1484","tlon","","Taiwan ","Longdong ","web","","-0.19","07:00","2h","1h","  [open]  ","121.9181","25.0975"
"1485","tluk","","Taiwan ","Lukang ","web","","-999","07:00","2h","1h","  [open]  ","120.4204","24.0849"
"1486","tlyu","","Taiwan ","Lyudao ","web","","-999","07:00","2h","1h","  [open]  ","121.473","22.6605"
"1487","tmai","","Taiwan ","Mailiao ","web","","-0.07","07:00","2h","1h","  [open]  ","120.1603","23.7861"
"1488","tmat","","Taiwan ","Matsu ","web","","-1.93","07:00","2h","1h","  [open]  ","119.9428","26.1617"
"1489","tn031","","Spain","Arona, Tenerife ","web","","0.16","2024-08-30 00:00","4d","5'","  [open]  ","-16.7180556","28.0469444"
"1490","tnan","","Taiwan ","Nansha Taiping Island ","web","","-999","07:00","2h","1h","  [open]  ","114.3603","10.3736"
"1494","tobe","","UK","Tobermory ","ftp","","4.16","07:00","2h","15'","  [open]  ","-6.06","56.62"
"1495","toco","","Chile","Tocopilla CL ","SXCH40","ADC191A6","3.67","07:22","2h","5'","  [open]  ","-70.211537","-22.093748"
"1496","toco2","","Chile","Tocopilla CL ","web","","3.68","07:25","2h","5'","  [open]  ","-70.211537","-22.093748"
"1500","tosa","","Japan","Tosashimizu ","SWJP40","TOSASHIMIZU","2.61","07:19","2h","10'","  [open]  ","132.96","32.78"
"1501","toul","","France","Toulon ","ftp","","0.62","07:25","2h","5'","  [open]  ","5.91306","43.11722"
"1502","toul2","","France","Toulon2 ","SZFR01","FR0680","0.62","07:17","2h","6'","  [open]  ","5.91306","43.11722"
"1503","toya","325","Japan","Toyama ","SWJP40","TOYAMA","2.49","07:19","2h","10'","  [open]  ","137.22","36.76"
"1504","tpen","","Taiwan ","Penghu ","web","","-0.25","07:00","2h","1h","  [open]  ","119.5782","23.5619"
"1505","tpfl","","USA","Trident Pier FL ","SXXX03","3367722E","","","","6'","  [open]  ","-80.59","28.42"
"1506","TR22","","Italy","Trieste ","web","","0.45","07:23","2h","5'","  [open]  ","13.7561","45.6544"
"1507","trab","","Turkey","Trabzon ","web","","2.12","07:23","2h","2'","  [open]  ","39.744483947754","41.001949310303"
"1508","treg","321","Norway","Tregde ","web","","0.54","07:20","2h","10'","  [open]  ","7.554759","58.006377"
"1509","trin","","Sri Lanka","Trincomalee ","SXXX33","322952D4","0.01","07:09","2h","15'","  [open]  ","81.1996","8.5637"
"1510","trnz","","Netherlands","Terneuzen ","web","","-1.48","07:10","2h","10'","  [open]  ","3.81950267556","51.3362008604"
"1511","trom","","Norway","Tromsø ","web","","0.64","07:20","2h","10'","  [open]  ","18.95479","69.64611"
"1512","tron","","Norway","Trondheim ","web","","1.31","07:20","2h","10'","  [open]  ","10.391669","63.436484"
"1513","trst","","Australia","Torres Strait AU ","SZAU01","58170","1.53","07:26","2h","3'","  [open]  ","142.2219","-10.5865"
"1514","tshi","","Taiwan ","Shihti ","web","","0.2","07:00","2h","1h","  [open]  ","121.5062","23.4947"
"1515","tshu","","Taiwan ","Shueitou ","web","","0.16","07:00","2h","1h","  [open]  ","118.2892","24.4211"
"1516","tsic","","Taiwan ","Sicao ","web","","0.29","07:00","2h","1h","  [open]  ","120.1119","23.0236"
"1517","tst1","","Spain","Sant Pol de Mar ","bgan","ES-TST1-00","3.7","2024-04-10 09:44","146d","1'","  [open]  ","2.6244904531397","41.600422732856"
"1518","tst2","","Spain","Sant Pol de Mar ","bgan","ES-TST2-00","4.02","2024-04-08 08:21","148d","1'","  [open]  ","2.6244904531397","41.600422732856"
"1519","tsua","","Taiwan ","Su-ao ","web","","0.01","07:00","2h","1h","  [open]  ","121.8658","24.5925"
"1520","tsyu","","Taiwan ","Syunguangzuei ","web","","0.1","07:00","2h","1h","  [open]  ","120.7119","21.9856"
"1521","ttai","","Taiwan ","Taichung Port ","web","","-0.28","07:00","2h","1h","  [open]  ","120.5331","24.2878"
"1522","tubua","356","France","Tubuai (Austral Islands - French Polynesia) ","SEHI40","FFF0073A","0.66","07:20","2h","15'","  [open]  ","-149.475529583","-23.341802611"
"1524","tudy","","France","Port-Tudy (Groix island) ","ftp","","2.7","07:25","2h","5'","  [open]  ","-3.447057","47.643913"
"1525","tumc","","Colombia","Tumaco ","ftp","","4.92","07:18","2h","5'","  [open]  ","-78.7287","1.82"
"1526","tumc2","171","Colombia","Tumaco ","SXCO41","15AAC2B4","3.28","07:24","2h","15'","  [open]  ","-78.7287","1.82"
"1527","turb","","Colombia","Turbo ","ftp","","-0.27","2024-09-02 21:50","11h","10'","  [open]  ","-76.735","8.067224"
"1528","tuxp","","Mexico","Tuxpan ","ftp","","2.43","07:02","2h","10'","  [open]  ","-97.3286","20.96355"
"1529","tuxp2","","Mexico","Tuxpan ","SOMX10","010136C2","2.31","06:02","3h","1h","  [open]  ","-97.3286","20.96355"
"1530","twai","","Taiwan ","Waipu ","web","","-0.44","07:00","2h","1h","  [open]  ","120.7714","24.6514"
"1531","twun","","Taiwan ","Wungang ","web","","-0.04","07:00","2h","1h","  [open]  ","120.1225","23.4667"
"1532","twus","","Taiwan ","Wushih ","web","","-0.11","07:00","2h","1h","  [open]  ","121.8396","24.8686"
"1533","txig","","Taiwan ","Xiaogang ","web","","-0.09","07:00","2h","1h","  [open]  ","121.4036","23.1589"
"1534","txil","","Taiwan ","Xiao Liuqiu ","web","","-0.11","07:00","2h","1h","  [open]  ","120.3833","22.3533"
"1535","tyon","","Taiwan ","Yongan ","web","","0.2","07:00","2h","1h","  [open]  ","120.1975","22.8189"
"1536","tzha","","Taiwan ","ZhangTanLi ","web","","-0.19","07:00","2h","1h","  [open]  ","121.7998","25.1406"
"1537","UAPO","","Polynésie Française ","Ua Pou (French Polynesia, Marquesas) ","SEHI40","B1F011F6","0.32","06:53","2h","15'","  [open]  ","-140.046471","-9.35789"
"1538","udde","","Sweden","Uddevalla ","web","","0.06","07:00","2h","1h","  [open]  ","11.894722","58.3475"
"1539","ugle","","Russia","Uglegorsk ","web","","0.83","07:14","2h","10'","  [open]  ","142.07","49.08"
"1540","uht1","","USA","UHSLC Lab ","","354232C6","","","","5'","  [open]  ","157.82","-21.3"
"1541","ulla","","UK","Ullapool ","ftp","","4.9","07:00","2h","15'","  [open]  ","-5.16","57.9"
"1542","uper","","Greenland","Upernavik harbour ","ftp","","-6","2023-09-18 16:29","351d","1'","  [open]  ","-56.14667","72.78861"
"1543","upol","","Samoa","Apia Upolu WS ","SZPS01","66840","1.25","07:26","2h","3'","  [open]  ","-171.7613","-13.8268"
"1544","ushu","181","Argentina","Ushuaia ","SEPO40","334CE50A","-999","2024-09-02 21:49","11h","15'","  [open]  ","-68.217","-54.817"
"1545","USTI","","Italy","USTICA ","bgan","","","","","0.25'","  [open]  ","13.176111","38.705278"
"1548","vair","","France","Vairao (Tahiti Island - French Polynesia) ","SEHI40","FAA022BE","0.47","07:23","2h","15'","  [open]  ","-149.295298","-17.805923"
"1549","vald","","USA","Valdez AK ","SXXX03","33A52D10","","","","6'","  [open]  ","-146.362","61.125"
"1550","vald2","","USA","Valdez AK ","web","","2.25","07:18","2h","6'","  [open]  ","-146.362","61.125"
"1551","vale","","Spain","Valencia ","ftp","","0.33","07:22","2h","4'","  [open]  ","-0.31128","39.44203"
"1552","valp","175","Chile","Valparaiso CL ","SXCH40","ADC01548","3.05","07:20","2h","5'","  [open]  ","-71.62787275","-33.02767128"
"1553","valp2","175","Chile","Valparaiso CL ","web","","3.02","07:20","2h","5'","  [open]  ","-71.62787275","-33.02767128"
"1555","vanu","348","Vanuatu","Port Vila ","SZPS01","57320","1.28","07:26","2h","3'","  [open]  ","168.3077","-17.7553"
"1556","varb","","Sweden","Varberg2 ","web","","0.03","07:00","2h","1h","  [open]  ","12.238611","57.111111"
"1557","vard","323","Norway","Vardø ","web","","1.71","07:20","2h","10'","  [open]  ","31.104015","70.374978"
"1559","VE19","","Italy","Venice ","web","","0.48","07:23","2h","5'","  [open]  ","12.426528","45.418219"
"1562","vera","212","Mexico","Veracruz, Ver. ","ftp","","1.77","07:22","2h","10'","  [open]  ","-96.123553","19.192061"
"1563","vera2","212","Mexico","Veracruz, Ver. ","SOMX10","0102A4AE","0.07","07:06","2h","15'","  [open]  ","-96.123553","19.192061"
"1564","verav","31","India","Veeraval ","ftp","42910","7.32","2024-05-10 06:03","116d","10'","  [open]  ","70.36","20.9"
"1565","vern","188","Antarctica","Vernadsky - Faraday ","SEMS40","3354E632","1.32","07:24","2h","15'","  [open]  ","-64.27","-65.25"
"1566","vhbc","","Canada","Vancouver Harbor ","SXAK50","CD400D3A","2.8","07:28","2h","5'","  [open]  ","-123.116667","49.283333"
"1567","VI12","","Italy","Vieste ","web","","-0.1","07:23","2h","5'","  [open]  ","16.177011111111","41.888083333333"
"1568","vibc","","Canada","Victoria Harbor ","SXAK50","CD405D46","2.26","07:27","2h","5'","  [open]  ","-123.37","48.42"
"1569","vieq","","USA","Vieques PR ","web","335CC478","0.24","07:21","2h","6'","  [open]  ","-65.4714","18.0939"
"1570","vieq2","","USA","Vieques PR ","SXXX03","335CC478","-3.25","07:15","2h","6'","  [open]  ","-65.4714","18.0939"
"1571","vig2","","Spain","Vigo ","ftp","","1.18","07:23","2h","4'","  [open]  ","-8.726","42.24314"
"1572","vike","","Norway","Viker ","web","","0.56","07:20","2h","10'","  [open]  ","10.949769","59.036046"
"1573","vikew","","Sweden","Viken ","web","","0","07:00","2h","1h","  [open]  ","12.579167","56.142222"
"1574","vil2","","Spain","Villagarcia ","ftp","","1.31","07:23","2h","4'","  [open]  ","-8.77003","42.60071"
"1575","vin2","","Sweden","Vinga2 ","web","","0.02","07:00","2h","1h","  [open]  ","11.608889","57.631667"
"1576","visb","","Sweden","Visby ","web","","0.18","07:00","2h","1h","  [open]  ","18.284444","57.639167"
"1577","vish","35","India","Visakhapatnam ","ftp","43151","0.77","07:20","2h","10'","  [open]  ","83.28","17.68"
"1578","viti","122","Fiji Islands","Suva Viti Levu FJ ","SZPS01","67050","1.8","07:26","2h","3'","  [open]  ","178.4236","-18.1342"
"1579","vkfl","","USA","Vaca Key FL ","SXXX03","336704BE","","","","6'","  [open]  ","-81.105","24.717"
"1580","vlad","","Russia","Vladivostok ","web","","4.78","07:15","2h","10'","  [open]  ","131.92","43.13"
"1581","vlis","","Netherlands","Vlissingen ","web","","-1.53","07:00","2h","10'","  [open]  ","3.59700864658","51.4428582528"
"1582","vlrn","","Netherlands","Vlakte v/d Raan ","web","","-1.4","07:00","2h","10'","  [open]  ","3.241661685","51.5036168358"
"1584","vsfb","","USA","Vandenberg Space Force Base ","SZXX01","300434066947600","7.38","07:19","2h","5'","  [open]  ","-120.609853","34.555173"
"1585","vung","","Viet Nam","Vung Tau ","SZXX01","300434067059990","3.44","07:20","2h","6'","  [open]  ","107.071","10.34"
"1586","vvik","","Sweden","Vastervik ","web","","0.15","07:00","2h","1h","  [open]  ","16.675278","57.748333"
"1587","waian","","USA","Waianae Hbr ","SZXX01","US-HI-WAIANAE","0.13","07:15","2h","5'","  [open]  ","-158.197165","21.45024"
"1590","waka","324","Japan","Wakkanai ","SWJP40","WAKKANAI","2.35","07:19","2h","10'","  [open]  ","141.69","45.41"
"1591","wake","105","USA","Wake US ","web","","0.43","07:14","2h","6'","  [open]  ","166.618","19.29"
"1592","wake2","105","USA","Wake US ","SZPA37","WAKP8","0.44","07:14","2h","6'","  [open]  ","166.618","19.29"
"1593","wall","","France","Mata-Utu (Wallis island) ","SZFW41","0652170C","1.61","2024-08-30 18:04","4d","6'","  [open]  ","-176.100665","-13.170479"
"1595","warn","","Germany","Warnemünde ","web","","5.25","07:24","2h","5'","  [open]  ","12.103333","54.169722"
"1596","wava","","USA","Wachapreague VA ","SXXX03","33659428","","","","6'","  [open]  ","-75.6","37.6"
"1598","wbnc","","USA","Wright Beach NC ","SXXX03","335E7202","","","","1h","  [open]  ","-77.795","34.21"
"1599","weym","","UK","Weymouth ","ftp","","2.05","07:00","2h","15'","  [open]  ","-2.45","50.61"
"1600","whbc","","Canada","Winter Harbour BC ","SXAK50","15C385D0","-999","07:25","2h","5'","  [open]  ","-128.03","50.51"
"1601","whit","","UK","Whitby ","ftp","","3.73","07:00","2h","15'","  [open]  ","-0.61","54.49"
"1602","wick","","UK","Wick Harbour ","ftp","","1.17","07:00","2h","15'","  [open]  ","-3.09","58.44"
"1603","wilb","","USA","Willapa Bay,Toke Pt ","SXXX03","336B30B8","","","","6'","  [open]  ","-123.959","46.705"
"1605","winc","","USA","Wilmington NC ","SXXX03","3364362A","","","","6'","  [open]  ","-77.953","34.227"
"1607","WIS05","","Italy","Catania ","bgan","","","","","0.016'","  [open]  ","15.14498","37.48526"
"1608","wlgt","101","New Zealand","Wellington ","SZNZ01","WLGT","3.31","07:22","2h","3'","  [open]  ","174.7790967","-41.2846217"
"1609","wlms","","USA","Bay Waveland Yacht Club, MS ","web","33456542","0.37","07:20","2h","6'","  [open]  ","-89.3258","30.3264"
"1611","wood","","USA","Woods Hole, MA ","web","3340A79C","0.2","07:21","2h","6'","  [open]  ","-70.6717","41.5233"
"1612","wood2","","USA","Woods Hole, MA ","SXXX03","3340A79C","-4","07:20","2h","6'","  [open]  ","-70.6717","41.5233"
"1613","work","","UK","Workington ","ftp","","1.61","07:00","2h","15'","  [open]  ","-3.57","54.65"
"1614","wpwa","","USA","Westport, WA ","web","33632768","2.48","07:16","2h","6'","  [open]  ","-124.11","46.9083"
"1616","wsdc","","USA","Washington DC ","SXXX50","335861BA","","","","6'","  [open]  ","-77.02","38.87"
"1617","wuda","","Oman","Khawr Wudam ","SXOM33","18539268","0.14","07:16","2h","6'","  [open]  ","57.52","23.82"
"1619","xmas","146","Kiribati","Christmas KI ","SZXX01","301434060001890","-999","07:20","2h","5'","  [open]  ","-157.473","1.984"
"1620","yabu","","USA","Yabucoa Harbor, PR ","SXXX03","3366B5CA","-6.3","07:20","2h","6'","  [open]  ","-65.833","18.0551"
"1621","yaku","","USA","Yakutat AK ","web","336B0522","1.94","07:19","2h","6'","  [open]  ","-139.735","59.548"
"1622","yaku2","","USA","Yakutat AK ","SXXX03","336B0522","-7.52","07:19","2h","6'","  [open]  ","-139.735","59.548"
"1623","yalo","","Turkey","Yalova ","web","","1.95","07:23","2h","2'","  [open]  ","29.277667999268","40.661975860596"
"1624","yapi","119","Micronesia","Yap Island ","SZXX01","300434066945690","12.25","07:20","2h","5'","  [open]  ","138.1246","9.5142"
"1625","yobu","","Puerto Rico","Yobucou PR ","SXXX03","3366B5CA","","","","6'","  [open]  ","-65.833","18.0501"
"1626","ysta","","Sweden","Ystad2 ","web","","0.31","07:00","2h","1h","  [open]  ","13.825556","55.422778"
"1628","zanz","297","Tanzania","Zanzibar ","SXXX33","1605D3E0","1.74","07:13","2h","15'","  [open]  ","39.1833","-6.15"
"1629","zhap","78","China","Zhapo ","SZCI01","09731","1.81","2024-08-18 20:01","16d","1'","  [open]  ","111.82","21.58"
"1630","zihu","","Mexico","Zihuatanejo, Gro ","ftp","","3.43","07:11","2h","15'","  [open]  ","-101.558333","17.636667"
"1631","zihu2","","Mexico","Zihuatanejo2 ","SOMX10","0102D23E","3.36","07:21","2h","10'","  [open]  ","-101.5581833","17.6361833"
"1632","zkth","","Greece","Zakynthos, Ionian Islands ","bgan","GR-ZKTH-00","0.01","09:05","5'","1'","  [open]  ","20.9052","37.78142"
"1633","zldw","","Belgium","Zeebrugge Leopold II dam ","web","","0.83","07:15","2h","5'","  [open]  ","3.200277778","51.34638889"
"1634","zwdw","","Belgium","Zeebrugge Wielingendok ","web","","0.82","07:15","2h","5'","  [open]  ","3.178055556","51.35527778"
"1636","zygi1","","Cyprus","Zygi ","bgan","ZYGI1","","2022-03-18 00:47","900d","1'","  [open]  ","33.340228","34.726315"
